symbol,entry_time,exit_time,days_held,entry_price,exit_price,qty,invested,reason,net_pnl,win
AJMERA,2025-06-06 00:00:00+05:30,2025-06-09 00:00:00+05:30,1,176.176,181.27981871999998,141,24840.816,Target Hit (Called Away),1160.3440766886838,1
AXISBANK,2025-04-24 00:00:00+05:30,2025-06-11 00:00:00+05:30,34,1200.2990999999997,1235.0717649269998,20,24005.981999999996,Target Hit (Called Away),1121.3479870707633,1
AAREYDRUGS,2025-06-09 00:00:00+05:30,2025-06-23 00:00:00+05:30,10,57.046989999999994,58.6996413003,438,24986.581619999997,Target Hit (Called Away),1167.1529622644218,1
GRASIM,2025-06-11 00:00:00+05:30,2025-06-24 00:00:00+05:30,9,2710.8080999999997,2789.3402106569997,9,24397.272899999996,Target Hit (Called Away),1139.6256506578675,1
MAXHEALTH,2025-06-23 00:00:00+05:30,2025-06-25 00:00:00+05:30,2,1203.3020999999999,1238.161761837,20,24066.041999999998,Target Hit (Called Away),1124.1534611439984,1
APOLLOHOSP,2025-04-28 00:00:00+05:30,2025-06-27 00:00:00+05:30,43,6961.454499999999,7163.127836864999,3,20884.363499999996,Target Hit (Called Away),975.5334721145387,1
AARTECH,2025-06-26 00:00:00+05:30,2025-06-27 00:00:00+05:30,1,71.63156,73.70672629319999,349,24999.414439999997,Target Hit (Called Away),1167.7523985580654,1
AIRAN,2025-06-26 00:00:00+05:30,2025-06-30 00:00:00+05:30,2,30.690659999999998,31.579768420199997,814,24982.197239999998,Target Hit (Called Away),1166.948162657072,1
AARTIDRUGS,2025-06-26 00:00:00+05:30,2025-06-30 00:00:00+05:30,2,455.4549999999999,468.64953134999996,8,3643.6399999999994,Target Hit (Called Away),170.19876044273127,1
NTPC,2025-03-28 00:00:00+05:30,2025-07-01 00:00:00+05:30,63,362.36199999999997,332.2674,68,24640.615999999998,Time Stop (63d),-1606.4100609485172,0
NESTLEIND,2025-04-25 00:00:00+05:30,2025-07-01 00:00:00+05:30,48,1214.6134,1203.795,20,24292.268,End of Backtest,215.56206438920236,1
AADHARHFC,2025-05-19 00:00:00+05:30,2025-07-01 00:00:00+05:30,32,457.8573999999999,463.43609999999995,54,24724.299599999995,End of Backtest,740.3196415018513,1
AKZOINDIA,2025-05-21 00:00:00+05:30,2025-07-01 00:00:00+05:30,30,3601.7981999999993,3415.581,6,21610.789199999996,End of Backtest,-732.0901128091148,0
ALKEM,2025-05-23 00:00:00+05:30,2025-07-01 00:00:00+05:30,28,5302.297,4844.151,4,21209.188,End of Backtest,-1453.764461115199,0
ABSLLIQUID,2025-05-27 00:00:00+05:30,2025-07-01 00:00:00+05:30,26,1000.9999999999999,999.00999,13,13012.999999999998,End of Backtest,205.4146850196172,1
ALKALI,2025-06-04 00:00:00+05:30,2025-07-01 00:00:00+05:30,20,105.90579999999999,100.3995,236,24993.768799999998,End of Backtest,-853.9644149189755,0
ABGSEC,2025-06-09 00:00:00+05:30,2025-07-01 00:00:00+05:30,17,110.82070999999998,109.86003,34,3767.904139999999,End of Backtest,34.331383256954595,1
BAJFINANCE,2025-06-27 00:00:00+05:30,2025-07-01 00:00:00+05:30,3,950.9499999999999,935.71335,26,24724.699999999997,End of Backtest,43.64890262661652,1
ALOKINDS,2025-06-27 00:00:00+05:30,2025-07-01 00:00:00+05:30,3,20.5205,20.20977,1122,23024.000999999997,End of Backtest,60.8897269783115,1
ADANIPOWER,2025-06-30 00:00:00+05:30,2025-07-01 00:00:00+05:30,2,118.0179,118.18169999999999,211,24901.7769,End of Backtest,477.06282601613896,1
KOTAKBANK,2025-06-30 00:00:00+05:30,2025-07-01 00:00:00+05:30,2,442.04159999999996,436.2633,12,5304.499199999999,End of Backtest,25.000314746220653,1
ABSLPSE,2025-07-01 00:00:00+05:30,2025-07-01 00:00:00+05:30,1,10.300289999999999,10.23975,2214,22804.842059999995,End of Backtest,271.37543956016873,1
