symbol,entry_time,exit_time,days_held,entry_price,exit_price,qty,invested,reason,net_pnl,win
KOTAKBANK,2025-06-19 00:00:00+05:30,2025-06-24 00:00:00+05:30,3,428.32789999999994,440.736559263,70,29982.952999999998,Target Hit,800.8803552585543,1
MAXHEALTH,2025-06-23 00:00:00+05:30,2025-06-24 00:00:00+05:30,1,1203.3020999999999,1184.0673159315,24,28879.250399999997,Stop Loss,-525.5182028627605,0
AAREYDRUGS,2025-06-23 00:00:00+05:30,2025-06-24 00:00:00+05:30,1,57.056999999999995,58.709941289999996,525,29954.924999999996,Target Hit,800.1316940243757,1
KPITTECH,2025-06-23 00:00:00+05:30,2025-06-24 00:00:00+05:30,1,1391.3899999999999,1369.1486308499998,21,29219.19,Stop Loss,-531.7041129954546,0
NYKAA,2025-06-23 00:00:00+05:30,2025-06-24 00:00:00+05:30,1,196.20600999999996,201.89009810969998,152,29823.313519999996,Target Hit,796.616194771902,1
TITAN,2025-06-23 00:00:00+05:30,2025-06-25 00:00:00+05:30,2,3483.6801999999993,3584.6024153939993,8,27869.441599999995,Target Hit,744.4259506215218,1
BIOCON,2025-06-24 00:00:00+05:30,2025-06-25 00:00:00+05:30,1,350.34999999999997,344.74965525,85,29779.749999999996,Stop Loss,-541.9046715181454,0
AARTIDRUGS,2025-06-26 00:00:00+05:30,2025-06-27 00:00:00+05:30,1,455.4549999999999,448.1745518249999,65,29604.574999999997,Stop Loss,-538.7169969798056,0
BAJFINANCE,2025-06-27 00:00:00+05:30,2025-06-30 00:00:00+05:30,1,950.9499999999999,935.7490642499998,31,29479.449999999997,Stop Loss,-536.4400865952784,0
KALYANKJIL,2025-06-27 00:00:00+05:30,2025-06-30 00:00:00+05:30,1,554.8542999999999,545.9849540144997,54,29962.132199999993,Stop Loss,-545.223496094644,0
JINDALSTEL,2025-06-27 00:00:00+05:30,2025-06-30 00:00:00+05:30,1,960.8098499999999,945.4513045477498,31,29785.105349999994,Stop Loss,-542.0021232826066,0
BIOCON,2025-06-25 00:00:00+05:30,2025-07-01 00:00:00+05:30,4,350.70034999999996,360.86013913949995,85,29809.529749999998,Target Hit,796.2480138720924,1
ABSLNN50ET,2025-06-30 00:00:00+05:30,2025-07-01 00:00:00+05:30,1,72.92284999999998,71.75717824274997,411,29971.291349999992,Stop Loss,-545.39016593479,0
ADANIPORTS,2025-06-27 00:00:00+05:30,2025-07-01 00:00:00+05:30,3,1436.3348999999998,1445.553,20,28726.697999999997,End of Backtest,120.14719152270554,1
ABSLPSE,2025-06-27 00:00:00+05:30,2025-07-01 00:00:00+05:30,3,10.290279999999997,10.23975,2915,29996.166199999992,End of Backtest,-213.9943146036477,0
ADANIPOWER,2025-06-30 00:00:00+05:30,2025-07-01 00:00:00+05:30,2,118.0179,118.18169999999999,254,29976.546599999998,End of Backtest,-25.246771772041313,0
JINDALSTEL,2025-06-30 00:00:00+05:30,2025-07-01 00:00:00+05:30,2,944.9439999999998,950.29875,31,29293.263999999996,End of Backtest,100.53882328141854,1
CIPLA,2025-06-30 00:00:00+05:30,2025-07-01 00:00:00+05:30,2,1510.9094,1514.1843000000001,16,24174.5504,End of Backtest,-1.5338807535181402,0
AARTIDRUGS,2025-07-01 00:00:00+05:30,2025-07-01 00:00:00+05:30,1,460.4099499999999,469.18035,65,29926.646749999996,End of Backtest,502.78597389767845,1
