ticker,market,sector,sub_sector,market_cap,is_etf
INDIQUBE.NS,NSE,Others,Diversified,Small Cap,False
INDNIPPON.BO,BSE,Others,Diversified,Small Cap,False
INDNIPPON.NS,NSE,Others,Diversified,Small Cap,False
INDOAMIN.BO,BSE,Others,Diversified,Small Cap,False
INDOAMIN.NS,NSE,Others,Diversified,Small Cap,False
INDOBORAX.BO,BSE,Others,Diversified,Small Cap,False
INDOBORAX.NS,NSE,Others,Diversified,Small Cap,False
INDOCO.BO,BSE,Others,Diversified,Small Cap,False
INDOCO.NS,NSE,Others,Diversified,Small Cap,False
INDOFARM.BO,BSE,Others,Diversified,Small Cap,False
INDOFARM.NS,NSE,Others,Diversified,Small Cap,False
INDORAMA.BO,BSE,Others,Diversified,Small Cap,False
INDORAMA.NS,NSE,Others,Diversified,Small Cap,False
INDOSTAR.BO,BSE,Others,Diversified,Small Cap,False
INDOSTAR.NS,NSE,Others,Diversified,Small Cap,False
INDOTECH.BO,BSE,Others,Diversified,Small Cap,False
INDOTECH.NS,NSE,Others,Diversified,Small Cap,False
INDOTHAI.BO,BSE,Others,Diversified,Small Cap,False
INDOTHAI.NS,NSE,Others,Diversified,Small Cap,False
INDOUS.BO,BSE,Others,Diversified,Small Cap,False
INDOUS.NS,NSE,Others,Diversified,Small Cap,False
INDOWIND.BO,BSE,Others,Diversified,Small Cap,False
INDOWIND.NS,NSE,Others,Diversified,Small Cap,False
INDRAMEDCO.BO,BSE,Others,Diversified,Small Cap,False
INDRAMEDCO.NS,NSE,Others,Diversified,Small Cap,False
INDSWFTLAB.BO,BSE,Others,Diversified,Small Cap,False
INDSWFTLAB.NS,NSE,Others,Diversified,Small Cap,False
INDTERRAIN.BO,BSE,Others,Diversified,Small Cap,False
INDTERRAIN.NS,NSE,Others,Diversified,Small Cap,False
INDUSINDBK.BO,BSE,Financial Services,Financial Services,Large Cap,False
INDUSINDBK.NS,NSE,Financial Services,Financial Services,Large Cap,False
