symbol,entry_time,exit_time,days_held,entry_price,exit_price,qty,reason,gross_pnl,charges,net_pnl,win
BHARTIARTL.NS,2025-02-27,2025-04-17,49,1631.4050943903646,1836.3576890283066,61,Target Hit,12502.10827291446,234.78473079938976,12267.323542115071,1
BHARTIARTL.NS,2025-04-23,2025-07-22,90,1853.3729547448443,1904.893248779297,53,Time Stop (63 days),2730.575583825994,221.76047585776078,2508.815107968233,1
BHARTIARTL.NS,2025-09-12,2025-11-18,67,1926.9249999999997,2156.6141848059183,51,Target Hit,11714.148425101846,231.19652528812958,11482.951899813717,1
BHARTIARTL.NS,2025-12-17,2026-02-26,71,2119.717697753906,1927.6703756103516,47,End of Backtest,-9026.224140747063,212.65669108956865,-9238.880831836632,0
KOTAKBANK.NS,2025-03-07,2025-03-24,17,383.3414200590743,422.11481502137303,260,Target Hit,10081.082690197665,232.60955924432827,9848.473130953336,1
KOTAKBANK.NS,2025-03-28,2025-08-13,138,427.7946085590756,397.14246853637695,233,Time Stop (93 days),-7141.948625288781,214.72523737058364,-7356.673862659364,0
KOTAKBANK.NS,2025-11-04,2026-02-04,92,423.7633363342285,411.9376560974121,235,Time Stop (63 days),-2779.0348556518466,219.05532682948058,-2998.0901824813272,0
KOTAKBANK.NS,2026-02-10,2026-02-26,16,431.23078778076166,424.1254378051758,231,End of Backtest,-1641.335844360332,220.30449469409726,-1861.6403390544292,0
AXISBANK.NS,2025-04-24,2025-07-23,90,1199.274121238631,1103.695248779297,83,Time Stop (63 days),-7933.046414124739,213.59903363185606,-8146.645447756596,0
AXISBANK.NS,2025-10-01,2026-01-14,105,1133.6325,1304.691340484566,88,Target Hit,15053.177962641805,237.97987475747175,14815.198087884333,1
AXISBANK.NS,2026-02-03,2026-02-26,23,1404.4029999999998,1394.1045,71,End of Backtest,-731.1934999999912,221.46953462887495,-952.6630346288662,0
ASIANPAINT.NS,2025-08-06,2025-11-10,96,2438.6341427613115,2643.623749511719,41,Time Stop (63 days),8404.5738767667,231.56963433167505,8173.004242435026,1
ASIANPAINT.NS,2025-12-29,2026-02-26,59,2749.2464999999997,2392.5050024414063,36,End of Backtest,-12842.693912109364,207.23279036624913,-13049.926702475614,0
SBIN.NS,2025-04-29,2025-10-20,174,804.6627034664858,902.840145827104,124,Target Hit,12174.002852716658,235.02866899972497,11938.974183716933,1
