symbol,entry_time,exit_time,days_held,entry_price,exit_price,qty,invested,reason,gross_pnl,charges,net_pnl,win
TATACHEM,2025-04-28 00:00:00+05:30,2025-05-28 00:00:00+05:30,21,825.62355,909.0940909049999,24,19814.9652,Max Loss Stop (10%),-2003.2929817199974,8.773834458242682,-2012.06681617824,0
CUMMINSIND,2025-05-13 00:00:00+05:30,2025-05-29 00:00:00+05:30,12,2860.0371,3149.18685081,10,28600.371,Max Loss Stop (10%),-2891.497508100001,12.663909225453734,-2904.1614173254547,0
PNB,2025-05-12 00:00:00+05:30,2025-05-30 00:00:00+05:30,14,95.4045,105.04989495,209,19939.5405,Max Loss Stop (10%),-2015.8875445499993,8.828994941683042,-2024.7165394916824,0
CENTRALBK,2025-05-19 00:00:00+05:30,2025-06-02 00:00:00+05:30,10,36.61335,40.31495968499999,546,19990.889099999997,Max Loss Stop (10%),-2021.0788880099967,8.851731500214193,-2029.9306195102108,0
BATAINDIA,2025-04-22 00:00:00+05:30,2025-06-04 00:00:00+05:30,30,1207.9908,1223.8225999999997,16,19327.8528,Time Stop (30d),-253.30879999999524,8.32114907664,-261.6299490766352,0
THERMAX,2025-05-13 00:00:00+05:30,2025-06-11 00:00:00+05:30,21,3306.4902,3640.77635922,6,19838.9412,Max Loss Stop (10%),-2005.7169553199983,8.784450750163842,-2014.5014060701621,0
ASIANPAINT,2025-05-30 00:00:00+05:30,2025-06-18 00:00:00+05:30,13,2294.2035,2285.8235400000003,13,29824.645500000002,Trailing Stop,108.93947999999682,12.770644809312003,96.16883519068482,1
RECLTD,2025-05-19 00:00:00+05:30,2025-06-20 00:00:00+05:30,24,410.589,400.45005,73,29972.997,Trailing Stop,740.1433500000016,12.7462848380775,727.3970651619242,1
IPCALAB,2025-06-04 00:00:00+05:30,2025-06-20 00:00:00+05:30,12,1399.599,1388.4370499999998,14,19594.386,Trailing Stop,156.26730000000225,8.378337429944999,147.88896257005726,1
CIPLA,2025-05-20 00:00:00+05:30,2025-07-01 00:00:00+05:30,30,1493.9046,1517.2157,13,19420.7598,Time Stop (30d),-303.04429999999866,8.367908949465,-311.41220894946366,0
HAVELLS,2025-05-29 00:00:00+05:30,2025-07-01 00:00:00+05:30,24,1553.445,1549.4479,19,29515.454999999998,End of Backtest,75.94490000000087,12.642692636684998,63.30220736331587,1
VOLTAS,2025-06-02 00:00:00+05:30,2025-07-01 00:00:00+05:30,22,1258.74,1327.8265,15,18881.1,End of Backtest,-1036.2974999999983,8.238735626625,-1044.5362356266232,0
COALINDIA,2025-06-13 00:00:00+05:30,2025-07-01 00:00:00+05:30,13,389.61,390.13974999999994,51,19870.11,End of Backtest,-27.01724999999601,8.5220810107875,-35.53933101078351,0
NTPC,2025-06-19 00:00:00+05:30,2025-07-01 00:00:00+05:30,9,332.06759999999997,332.9326,60,19924.055999999997,End of Backtest,-51.900000000000546,8.548675072199998,-60.448675072200544,0
VEDL,2025-06-20 00:00:00+05:30,2025-07-01 00:00:00+05:30,8,438.01155,466.36589999999995,45,19710.51975,End of Backtest,-1275.945749999998,8.627702857087499,-1284.5734528570856,0
TCS,2025-06-20 00:00:00+05:30,2025-07-01 00:00:00+05:30,8,3421.575,3433.1296999999995,5,17107.875,End of Backtest,-57.77349999999842,7.342196749724998,-65.11569674972341,0
PFC,2025-06-23 00:00:00+05:30,2025-07-01 00:00:00+05:30,7,403.89570000000003,424.07364999999993,74,29888.281800000004,End of Backtest,-1493.1682999999923,13.021179410264999,-1506.1894794102573,0
DEVYANI,2025-07-01 00:00:00+05:30,2025-07-01 00:00:00+05:30,1,167.60223000000002,168.83866999999998,119,19944.665370000002,End of Backtest,-147.13635999999514,8.570781495885,-155.70714149588014,0
