ticker,market
CAMPUS.NS,NSE
CAMS.NS,NSE
CANBK.NS,NSE
CANFINHOME.NS,NSE
CANHLIFE.NS,NSE
CANTABIL.NS,NSE
CAPACITE.NS,NSE
CAPILLARY.NS,NSE
CAPITALSFB.NS,NSE
CAPLIPOINT.NS,NSE
CAPTRUST.NS,NSE
CARBORUNIV.NS,NSE
CARERATING.NS,NSE
CARRARO.NS,NSE
CARTRADE.NS,NSE
CARYSIL.NS,NSE
CASTROLIND.NS,NSE
CCCL.NS,NSE
CCHHL.NS,NSE
CCL.NS,NSE
CDSL.NS,NSE
CEATLTD.NS,NSE
CEIGALL.NS,NSE
CELEBRITY.NS,NSE
CELLO.NS,NSE
CEMPRO.NS,NSE
CENTENKA.NS,NSE
CENTEXT.NS,NSE
CENTRALBK.NS,NSE
CENTRUM.NS,NSE
CENTUM.NS,NSE
CENTURYPLY.NS,NSE
CERA.NS,NSE
CEREBRAINT.NS,NSE
CESC.NS,NSE
CEWATER.NS,NSE
CGCL.NS,NSE
CGPOWER.NS,NSE
CHALET.NS,NSE
CHAMBLFERT.NS,NSE
CHEMBOND.NS,NSE
CHEMBONDCH.NS,NSE
CHEMCON.NS,NSE
CHEMFAB.NS,NSE
CHEMPLASTS.NS,NSE
CHENNPETRO.NS,NSE
CHEVIOT.NS,NSE
CHOICEIN.NS,NSE
CHOLAFIN.NS,NSE
CHOLAHLDNG.NS,NSE
CIEINDIA.NS,NSE
CIFL.NS,NSE
CIGNITITEC.NS,NSE
CINELINE.NS,NSE
CINEVISTA.NS,NSE
CIPLA.NS,NSE
CLEAN.NS,NSE
CLEDUCATE.NS,NSE
CLSEL.NS,NSE
CMSINFO.NS,NSE
CNL.NS,NSE
COALINDIA.NS,NSE
COASTCORP.NS,NSE
COCHINSHIP.NS,NSE
COFFEEDAY.NS,NSE
COFORGE.NS,NSE
COHANCE.NS,NSE
COLPAL.NS,NSE
COMPINFO.NS,NSE
COMPUSOFT.NS,NSE
COMSYN.NS,NSE
CONCOR.NS,NSE
